OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
705,2016,NonResidential,Large Office,351 Elliott Ave West,351 Elliot Ave West,Seattle,WA,98119.0,7666202133,7,MAGNOLIA / QUEEN ANNE,47.62175,-122.36313,2000,1.0,5,159937,55971,103966,"Office, Parking",Office,106449.0,Parking,50258.0,,,,63.0,73.80000305,73.80000305,231.8000031,231.8000031,7857972.5,7857972.5,0.0,2303039.75,7857972.0,0.0,0.0,False,,Compliant,,54.78,0.34
706,2016,NonResidential,Large Office,333 Elliott West,333 Elliott Ave W,Seattle,WA,98119.0,7666202160,7,MAGNOLIA / QUEEN ANNE,47.62101,-122.36188,2008,1.0,5,183964,46763,137201,"Data Center, Office, Parking",Office,133451.0,Parking,46763.0,Data Center,3750.0,,56.0,108.3000031,108.3000031,340.0,340.0,14856199.0,14856199.0,0.0,4354102.5,14856198.0,0.0,0.0,False,,Compliant,,103.57,0.56
707,2016,NonResidential,Large Office,101 ELLIOTT AVENUE WEST,101 Elliott Ave West,Seattle,WA,98119.0,7666202220,7,MAGNOLIA / QUEEN ANNE,47.61891,-122.35958,1986,1.0,5,208210,78848,129362,"Office, Parking",Office,109978.0,Parking,78848.0,,,2016201120102009,95.0,50.09999847,52.70000076,125.1999969,127.9000015,5514308.5,5799664.5,0.0,1118781.0,3817281.0,16970.26953,1697027.0,False,,Compliant,,116.74,0.56
708,2016,NonResidential,Large Office,3131 Elliott Avenue,3131 Elliott Avenue,Seattle,WA,98121.0,7666202240,7,DOWNTOWN,47.61813,-122.35833,1986,1.0,7,277486,80283,197203,"Office, Other, Parking",Office,178625.0,Parking,87624.0,Other,14653.0,,63.0,65.90000153,65.90000153,206.8000031,206.8000031,12729858.0,12729858.0,0.0,3730907.5,12729856.0,0.0,0.0,False,,Compliant,,88.74,0.32
709,2016,NonResidential,Large Office,Pier 69 Corporate HQ,2711 Alaskan Way,Seattle,WA,98121.0,7666202295,7,DOWNTOWN,47.614,-122.35375,1993,1.0,3,187130,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",Office,171783.0,Non-Refrigerated Warehouse,9581.0,Other - Recreation,4413.0,2010,77.0,52.59999847,54.59999847,165.1000061,171.6000061,10053489.0,10445641.0,0.0,2946508.75,10053488.0,0.0,0.0,False,,Compliant,,70.09,0.37
710,2016,NonResidential,Large Office,World Trade Center - North,2401 Elliott Avenue,Seattle,WA,98121.0,7666202320,7,DOWNTOWN,47.61287,-122.35022,2000,1.0,5,251044,117867,133177,"Data Center, Office",Office,126218.0,Data Center,12717.0,,,2016201520122009,99.0,123.6999969,123.6999969,388.3999939,388.3999939,17186624.0,17186624.0,0.0,5037111.0,17186623.0,0.0,0.0,False,,Compliant,,119.81,0.48
711,2016,NonResidential,Warehouse,08495-Pier 57,1334 Alaskan Way,Seattle,WA,98101.0,7666202440,7,DOWNTOWN,47.60703,-122.34038,1912,1.0,5,154330,0,154330,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,95330.0,,,,,,81.0,13.19999981,14.80000019,41.59999847,46.5,1262235.25,1411471.75,0.0,369939.9063,1262235.0,0.0,0.0,False,,Compliant,,8.8,0.06
712,2016,NonResidential,Large Office,51 University,51 University,Seattle,WA,98006.0,7666202475,7,DOWNTOWN,47.60604,-122.33948,1918,1.0,6,108245,14690,93555,"Adult Education, Fitness Center/Health Club/Gym, Office, Other - Restaurant/Bar, Parking, Retail Store",Office,64055.0,Adult Education,14621.0,Parking,12359.0,,,45.79999924,47.5,138.6999969,144.0,4515180.5,4682152.5,266262.0,1245286.625,4248918.0,0.0,0.0,False,,Compliant,,50.17,0.46
713,2016,NonResidential,Large Office,National Building,1008 Western Ave,Seattle,WA,98104.0,7666202515,7,DOWNTOWN,47.6047,-122.33739,1905,1.0,6,167860,0,167860,"Data Center, Office, Retail Store",Office,110370.0,Retail Store,19801.0,Data Center,634.0,,70.0,52.0,53.90000153,163.1999969,169.1999969,6797647.0,7046428.5,0.0,1992276.125,6797646.0,0.0,0.0,False,,Compliant,,47.39,0.28
715,2016,NonResidential,Large Office,Polson Building,71 Columbia Street,Seattle,WA,98104.0,7666202565,7,DOWNTOWN,47.60247,-122.33621,1910,1.0,6,112560,0,112560,"Office, Retail Store",Office,80400.0,Retail Store,16080.0,,,,86.0,51.29999924,54.59999847,131.3000031,134.3000031,4946798.5,5268183.0,0.0,1047485.313,3574020.0,13727.78027,1372778.0,False,,Compliant,,97.82,0.87
