OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
19858,2015,NonResidential,Mixed Use Property,MARION 823,939000300,"{'latitude': '47.60387657', 'longitude': '-122.33374327', 'human_address': '{""address"": ""818 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1978,1,2.0,38539,12379,26160,"Office, Parking, Retail Store",Retail Store,15549.0,Parking,12379.0,Office,10611.0,,50.0,88.2,90.8,277.0,285.2,2307938.0,2376244.0,0.0,676418.0,2308034.0,0.0,0.0,0.0,16.09,0.16,Yes,,Compliant,,,14.0,,19.0,18379
19860,2015,NonResidential,Small- and Mid-Sized Office,MARION 814 BUILDING,939000300,"{'latitude': '47.60387657', 'longitude': '-122.33374327', 'human_address': '{""address"": ""818 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1906,1,5.0,26840,0,26840,Office,Office,29040.0,,,,,,24.0,69.1,68.1,217.0,213.9,2006626.0,1978676.0,0.0,588109.0,2006710.0,0.0,0.0,0.0,13.99,0.2,No,,Compliant,,,14.0,,19.0,18379
19861,2015,NonResidential,Retail Store,MARION BUILDING 804,939000300,"{'latitude': '47.60387657', 'longitude': '-122.33374327', 'human_address': '{""address"": ""818 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1906,1,2.0,46800,0,46800,"Office, Retail Store",Retail Store,36019.0,Office,10781.0,,,,54.0,44.6,44.6,140.1,140.1,2087998.0,2087998.0,0.0,611957.0,2088085.0,0.0,0.0,0.0,14.56,0.12,Yes,,Compliant,,,14.0,,19.0,18379
19862,2015,NonResidential,Small- and Mid-Sized Office,SEATTLE METROPOLITAN CREDIT UNION,939000310,"{'latitude': '47.60405234', 'longitude': '-122.33330945', 'human_address': '{""address"": ""801 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",7,DOWNTOWN,1979,1,3.0,63990,26640,37350,"Office, Parking",Office,39000.0,Parking,26640.0,,,,31.0,64.4,71.3,202.2,223.7,2513155.0,2780298.0,0.0,735529.0,2509730.0,35.0,3529.0,0.0,17.68,0.11,No,,Compliant,,,14.0,,19.0,18379
19864,2015,NonResidential,Small- and Mid-Sized Office,COMPTON BUILDING,654000330,"{'latitude': '47.61291226', 'longitude': '-122.34793793', 'human_address': '{""address"": ""2315 WESTERN AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1908,1,3.0,28800,0,28800,"Non-Refrigerated Warehouse, Office, Other",Office,21600.0,Other,7200.0,Non-Refrigerated Warehouse,6200.0,,43.0,38.8,42.2,99.8,103.3,1358652.0,1475762.0,0.0,289812.0,988880.0,3698.0,369813.0,0.0,26.53,0.77,No,,Compliant,,,5.0,,9.0,19576
19865,2015,Multifamily LR (1-4),Low-Rise Multifamily,ENDLESS KNOT/DOROTHY DAY HOUSE APTS,655000005,"{'latitude': '47.61362726', 'longitude': '-122.34668139', 'human_address': '{""address"": ""106 BELL ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1900,1,3.0,23015,0,23015,"Multifamily Housing, Retail Store",Multifamily Housing,19132.0,Retail Store,3883.0,,,,,70.2,78.6,146.6,160.5,1615855.0,1807888.0,0.0,235208.0,802562.0,8133.0,813326.0,0.0,48.79,1.97,No,,Compliant,,,5.0,,9.0,19576
19870,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BAKHITA GARDENS,655000075,"{'latitude': '47.61405057', 'longitude': '-122.34646054', 'human_address': '{""address"": ""118 BELL ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,2000,1,6.0,36676,0,36676,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",Multifamily Housing,22129.0,Office,9751.0,Retail Store,2506.0,,,59.7,65.0,148.6,160.9,2189124.0,2383529.0,0.0,441757.0,1507337.0,6819.0,681850.0,0.0,46.72,1.1,No,,Compliant,,,5.0,,9.0,19576
19871,2015,NonResidential,Small- and Mid-Sized Office,GRANGE OFFICE PLAZA,656000045,"{'latitude': '47.61698381', 'longitude': '-122.34958888', 'human_address': '{""address"": ""2717 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1954,1,3.0,33552,4968,28584,"Office, Parking",Office,26556.0,Parking,4968.0,,,,44.0,104.6,121.3,168.4,185.9,2778865.0,3220593.0,0.0,218105.0,744206.0,20347.0,2034690.0,0.0,113.25,3.28,No,,Compliant,,,5.0,,9.0,19576
19873,2015,NonResidential,Retail Store,RITE AID STORE #5218_2603 THIRD AV,656000130,"{'latitude': '47.61653968', 'longitude': '-122.34883432', 'human_address': '{""address"": ""2603 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1931,1,2.0,26270,0,26270,Retail Store,Retail Store,26266.0,,,,,,22.0,67.4,72.8,168.5,170.6,1770198.0,1912642.0,0.0,359970.0,1228269.0,5420.0,541980.0,0.0,37.35,1.22,No,,Compliant,,,5.0,,9.0,19576
19874,2015,NonResidential,Small- and Mid-Sized Office,TRIANON BUILDING,656000160,"{'latitude': '47.61631632', 'longitude': '-122.34780486', 'human_address': '{""address"": ""2505 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1926,1,3.0,57620,7820,49800,"Office, Parking",Office,49800.0,Parking,7820.0,,,,50.0,48.0,55.0,150.7,172.7,2390284.0,2739528.0,0.0,700552.0,2390383.0,0.0,0.0,0.0,16.66,0.11,No,,Compliant,,,5.0,,9.0,19576
19875,2015,Multifamily LR (1-4),Low-Rise Multifamily,LEXINGTON CONCORD APTS,656000180,"{'latitude': '47.61518595', 'longitude': '-122.34664005', 'human_address': '{""address"": ""2402 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1923,1,3.0,33440,0,33440,Multifamily Housing,Multifamily Housing,33440.0,,,,,,30.0,96.5,107.3,137.0,148.2,3227332.0,3586806.0,0.0,167019.0,569893.0,26575.0,2657463.0,0.0,145.11,4.27,No,,Compliant,High Outlier,,5.0,,9.0,19576
19876,2015,NonResidential,Mixed Use Property,U.S. BANK,656000215,"{'latitude': '47.6152207', 'longitude': '-122.34660101', 'human_address': '{""address"": ""2401 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1954,1,2.0,28696,6080,22616,"Bank Branch, Other, Parking",Other,12960.0,Bank Branch,7760.0,Parking,6080.0,,,26.7,29.6,83.9,93.0,553875.0,613798.0,0.0,162331.0,553897.0,0.0,0.0,0.0,3.86,0.05,No,,Compliant,,,5.0,,9.0,19576
19878,2015,NonResidential,Hotel,BELLTOWN  INN,656000290,"{'latitude': '47.61486123', 'longitude': '-122.34534207', 'human_address': '{""address"": ""2301 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1990,1,5.0,57800,0,57800,Hotel,Hotel,57800.0,,,,,,77.0,46.2,48.7,106.7,112.4,2668769.0,2812528.0,0.0,471875.0,1610105.0,10587.0,1058731.0,0.0,67.45,1.05,No,,Compliant,,,5.0,,9.0,19576
19881,2015,Multifamily MR (5-9),Mid-Rise Multifamily,THE VERMONT INN,656000360,"{'latitude': '47.61797714', 'longitude': '-122.34895325', 'human_address': '{""address"": ""2721 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1994,1,6.0,69590,15488,54102,Multifamily Housing,Multifamily Housing,69590.0,,,,,,96.0,60.4,66.6,112.0,118.6,4202335.0,4635802.0,0.0,474595.0,1619387.0,25830.0,2583015.0,0.0,148.47,2.03,No,,Compliant,,,56.0,,9.0,19576
19882,2015,Multifamily LR (1-4),Low-Rise Multifamily,WATERMARKE,656000370,"{'latitude': '47.61753573', 'longitude': '-122.34855005', 'human_address': '{""address"": ""320 CEDAR ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1908,1,3.0,45172,0,45172,,,,,,,,,81.0,35.6,39.1,71.4,79.9,1607275.0,1766044.0,0.0,215837.0,736467.0,8708.0,870838.0,0.0,51.38,1.07,No,,Compliant,,,56.0,,9.0,19576
19884,2015,Multifamily HR (10+),High-Rise Multifamily,CENTENNIAL TOWER APTS,656000450,"{'latitude': '47.61646494', 'longitude': '-122.3467173', 'human_address': '{""address"": ""2515 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1990,1,26.0,321050,94550,226500,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,226500.0,Parking,94550.0,Swimming Pool,0.0,,44.0,56.2,64.0,133.5,148.8,12719042.0,14495454.0,0.0,2365972.0,8073032.0,46463.0,4646346.0,0.0,303.05,0.84,No,,Compliant,,,56.0,,9.0,19576
19885,2015,Multifamily MR (5-9),Mid-Rise Multifamily,COURT AT CENTENNIAL APTS,656000451,"{'latitude': '47.61676801', 'longitude': '-122.34732022', 'human_address': '{""address"": ""2500 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,2000,1,7.0,192077,49580,142497,"Multifamily Housing, Parking",Multifamily Housing,142497.0,Parking,49580.0,,,,97.0,26.6,28.1,83.6,88.4,3795938.0,4010624.0,0.0,1112526.0,3796096.0,0.0,0.0,0.0,26.46,0.05,No,,Compliant,,,56.0,,9.0,19576
19887,2015,Multifamily MR (5-9),Mid-Rise Multifamily,MODA APTS,656000550,"{'latitude': '47.61507289', 'longitude': '-122.3451409', 'human_address': '{""address"": ""2312 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,2008,1,7.0,203940,60757,143183,"Multifamily Housing, Parking",Multifamily Housing,143183.0,Parking,60757.0,,,,97.0,44.1,46.1,100.5,103.7,6313678.0,6596692.0,0.0,1087884.0,3712014.0,26018.0,2601819.0,0.0,164.06,0.73,No,,Compliant,,,56.0,,9.0,19576
19889,2015,Multifamily LR (1-4),Low-Rise Multifamily,FLEMING APTS,656000600,"{'latitude': '47.6156044', 'longitude': '-122.34494019', 'human_address': '{""address"": ""2321 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1918,1,3.0,21284,0,21284,Multifamily Housing,Multifamily Housing,21284.0,,,,,,95.0,35.6,38.8,76.5,83.6,758322.0,824794.0,0.0,116675.0,398113.0,3602.0,360226.0,0.0,21.91,0.95,No,,Compliant,,,56.0,,9.0,19576
19890,2015,Multifamily MR (5-9),Mid-Rise Multifamily,AUSTIN A BELL CONDOMINIUM,657000000,"{'latitude': '47.61407786', 'longitude': '-122.34675381', 'human_address': '{""address"": ""2324 1ST AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1908,1,5.0,48786,0,48786,,,,,,,,,98.0,24.4,26.7,72.3,77.7,1069381.0,1170631.0,0.0,287500.0,980990.0,884.0,88432.0,0.0,11.54,0.15,No,,Compliant,,,5.0,,9.0,19576
19893,2015,Multifamily MR (5-9),Mid-Rise Multifamily,STEWART COURT,659000265,"{'latitude': '47.6145223', 'longitude': '-122.33521105', 'human_address': '{""address"": ""1831 8TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,2002,1,6.0,98222,37746,60476,"Multifamily Housing, Other",Multifamily Housing,37924.0,Other,6443.0,,,,81.0,45.9,49.0,108.3,114.0,2035595.0,2173276.0,0.0,374075.0,1276395.0,7593.0,759253.0,0.0,49.22,0.45,No,,Compliant,,,56.0,,31.0,18081
19894,2015,NonResidential,Other,BANK OF AMERICA,659000380,"{'latitude': '47.61326433', 'longitude': '-122.3372408', 'human_address': '{""address"": ""500 OLIVE WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1955,1,2.0,31890,0,31890,Financial Office,Financial Office,31160.0,,,,,,3.0,54.3,49.1,170.4,154.3,1691021.0,1531473.0,0.0,495610.0,1691092.0,0.0,0.0,0.0,11.79,0.14,No,,Compliant,,,56.0,,31.0,18081
